序号,单词,音标,中文释义,例句,例句翻译
1,laptop,/ˈlæptɑːp/,笔记本电脑,My laptop is light enough to carry to school.,我的笔记本电脑轻到可以背去学校。
2,tablet,/ˈtæblət/,平板电脑,Dad lets me watch videos on his tablet.,爸爸让我在他的平板上看视频。
3,monitor,/ˈmɑːnɪtər/,显示器,The monitor shows a sharp picture.,这个显示器画面很清晰。
4,keyboard,/ˈkiːbɔːrd/,键盘,I type my homework on the keyboard.,我用键盘打作业。
5,speaker,/ˈspiːkər/,音箱,This little speaker has very loud sound.,这个小小的音箱声音特别大。
6,webcam,/ˈwebkæm/,摄像头,We use a webcam for online classes.,我们用摄像头上网课。
7,printer,/ˈprɪntər/,打印机,The printer makes a copy of my drawing.,打印机把我的画复印了一份。
8,scanner,/ˈskænər/,扫描仪,A scanner turns a photo into a digital file.,扫描仪可以把照片变成电子文件。
9,USB,/ˌjuːˌesˈbiː/,USB 接口,Please save the file on this USB drive.,请把文件存到这个 U 盘里。
10,cable,/ˈkeɪbl/,数据线,I need a new cable to charge my phone.,我需要一根新的线来给手机充电。
11,charger,/ˈtʃɑːrdʒər/,充电器,Don't forget to bring your charger.,别忘了带充电器。
12,headphone,/ˈhedfoʊn/,耳机,Wear headphones when you watch videos.,看视频时戴上耳机。
13,router,/ˈruːtər/,路由器,The router sends Wi-Fi to every room.,路由器把 Wi-Fi 信号送到每个房间。
14,modem,/ˈmoʊdəm/,调制解调器,The modem connects our home to the Internet.,调制解调器把家里连上互联网。
15,hard drive,/ˈhɑːrd draɪv/,硬盘,This hard drive holds one terabyte of photos.,这块硬盘能存一万亿字节的照片。
16,memory card,/ˈmeməri kɑːrd/,存储卡,Put the memory card back into the camera.,把存储卡装回相机。
17,projector,/prəˈdʒektər/,投影仪,The teacher shows a film on the projector.,老师用投影仪放电影。
18,touchpad,/ˈtʌtʃpæd/,触控板,Move the cursor by sliding on the touchpad.,在触控板上滑动来移动光标。
19,joystick,/ˈdʒɔɪstɪk/,游戏摇杆,He controls the plane game with a joystick.,他用游戏摇杆玩飞机游戏。
20,smartwatch,/ˈsmɑːrtwɑːtʃ/,智能手表,My smartwatch counts how many steps I walk.,我的智能手表会数我走了多少步。
21,e-reader,/ˈiːˌriːdər/,电子阅读器,An e-reader can hold thousands of books.,一个电子阅读器能装下几千本书。
22,stylus,/ˈstaɪləs/,手写笔,Tap the screen gently with the stylus.,用手写笔轻轻点击屏幕。
23,software,/ˈsɔːftwer/,软件,This drawing software is free to use.,这款绘画软件是免费使用的。
24,app,/æp/,应用程序,I have a new app for learning English.,我有一个新的英语学习应用。
25,icon,/ˈaɪkɑːn/,图标,Tap the camera icon to take a photo.,点击相机图标来拍照。
26,desktop,/ˈdesktɑːp/,桌面,My desktop is full of folders and files.,我的桌面上全是文件夹和文件。
27,window,/ˈwɪndoʊ/,窗口,Close that window and open a new one.,关掉那个窗口，再打开一个新的。
28,browser,/ˈbraʊzər/,浏览器,I search the answer in the browser.,我在浏览器里搜索答案。
29,download,/ˌdaʊnˈloʊd/,下载,Let's download the game together.,我们一起下载这个游戏吧。
30,upload,/ˌʌpˈloʊd/,上传,It took a long time to upload the video.,上传这个视频花了好长时间。
31,install,/ɪnˈstɔːl/,安装,I want to install a piano app.,我想安装一个钢琴应用。
32,update,/ʌpˈdeɪt/,更新,Update the app before using it.,使用前先把应用更新一下。
33,version,/ˈvɜːrʒn/,版本,This is the newest version of the app.,这是应用最新版本。
34,login,/ˈlɔːɡɪn/,登录,You need a password to login.,登录需要密码。
35,logout,/ˈlɔːɡaʊt/,退出登录,Always logout on a public computer.,在公共电脑上一定要退出登录。
36,password,/ˈpæswɜːrd/,密码,Make your password long but easy to remember.,密码要长，但要容易记。
37,username,/ˈjuːzərneɪm/,用户名,Choose a username that nobody else has.,选一个别人没注册过的用户名。
38,account,/əˈkaʊnt/,账号,I created an account with my email.,我用邮箱注册了一个账号。
39,notification,/ˌnoʊtɪfɪˈkeɪʃn/,通知,I got a notification about the new video.,我收到了关于新视频的通知。
40,settings,/ˈsetɪŋz/,设置,Open settings to change the language.,打开设置来切换语言。
41,file,/faɪl/,文件,Send me the file by email.,通过邮件把文件发给我。
42,folder,/ˈfoʊldər/,文件夹,Put all homework files in this folder.,把所有作业文件都放进这个文件夹。
43,document,/ˈdɑːkjumənt/,文档,This document has three pages of text.,这份文档有三页文字。
44,copy,/ˈkɑːpi/,复制,Copy the text and paste it here.,复制这段文字，粘贴到这里。
45,paste,/peɪst/,粘贴,Use Ctrl+V to paste the picture.,按 Ctrl+V 粘贴这张图。
46,delete,/dɪˈliːt/,删除,Be careful before you delete the file.,删除文件前要小心。
47,save,/seɪv/,保存,Don't forget to save your work every few minutes.,每隔几分钟要记得保存一次。
48,rename,/ˌriːˈneɪm/,重命名,Let me rename this photo to 'Trip 2026'.,我把这张照片重命名为「2026 旅行」。
49,zip,/zɪp/,压缩文件,Send the homework as a zip file.,把作业打成压缩包再发过来。
50,backup,/ˈbækʌp/,备份,Always make a backup of important files.,重要文件一定要做备份。
51,recycle bin,/rɪˈsaɪkl bɪn/,回收站,I found the photo in the recycle bin.,我在回收站里找到了那张照片。
52,trash,/træʃ/,垃圾箱,Empty the trash to save space.,清空垃圾箱来释放空间。
53,search,/sɜːrtʃ/,搜索,Use search to find the file quickly.,用搜索功能快速找到文件。
54,preview,/ˈpriːvjuː/,预览,Click the file to see a preview.,点击文件可以看到预览。
55,clipboard,/ˈklɪpbɔːrd/,剪贴板,The picture is still on my clipboard.,这张图还在我的剪贴板里。
56,code,/koʊd/,代码,She writes code to make the machine move.,她写代码让机器动起来。
57,program,/ˈproʊɡræm/,程序,This program draws colorful shapes.,这个程序能画出彩色的图形。
58,algorithm,/ˈælɡərɪðəm/,算法,An algorithm is a list of steps to solve a problem.,算法就是解决问题的一系列步骤。
59,command,/kəˈmænd/,指令,Type the command and press Enter.,输入指令然后按回车。
60,loop,/luːp/,循环,A loop runs the same step many times.,循环就是把同样步骤重复多次。
61,variable,/ˈveriəbl/,变量,A variable stores a number or a word.,变量可以存一个数字或一个词。
62,function,/ˈfʌŋkʃn/,函数,A function is a small program inside a big one.,函数是大程序里的小程序。
63,debug,/diːˈbʌɡ/,找 Bug,I spent an hour debugging my game.,我花了一小时找程序里的 Bug。
64,block-based,/blɑːk beɪst/,积木式编程,"In block-based coding, you drag blocks together.",在积木式编程里，你拖动积木来组合。
65,Python,/ˈpaɪθɑːn/,Python 编程语言,Python is a popular language for beginners.,Python 是很受初学者欢迎的语言。
66,sensor,/ˈsensər/,传感器,The sensor knows when I clap my hands.,这个传感器能感应到我拍手。
67,LED,/ˌelˌiːˈdiː/,发光二极管,The LED light turns on when I press the button.,我按按钮 LED 灯就亮了。
68,circuit,/ˈsɜːrkɪt/,电路,A simple circuit needs a battery and a wire.,一个简单的电路需要电池和电线。
69,sprite,/spraɪt/,角色（编程）,Make the sprite jump when you press space.,按下空格键让角色跳起来。
70,scratch,/skrætʃ/,Scratch 编程,I made a game in Scratch.,我用 Scratch 做了一个小游戏。
71,input,/ˈɪnpʊt/,输入,The user's input is the answer to the question.,用户的输入就是问题的答案。
72,output,/ˈaʊtpʊt/,输出,The output is shown on the screen.,输出会显示在屏幕上。
73,compile,/kəmˈpaɪl/,编译,Click compile to turn code into a program.,点编译把代码变成可运行的程序。
74,module,/ˈmɑːdʒuːl/,模块,This program has three modules.,这个程序有三个模块。
